sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_134,0.5701571987754557,183.0,0.02086526657671972,21.0,0.0,196.0,0.003365260158156054,101.0,0.0015223621808190574,128.0,125.8,105,0.03333333333333333,False
sensor_006,0.2626586229419034,231.0,0.023137824715016686,12.0,0.08850135337748224,57.0,0.0025453244699304724,174.0,0.0013417069940192755,156.0,126.0,106,0.0,False
sensor_171,1.3086358767290311,96.0,0.009222581944100972,89.0,0.09042113802046473,55.0,0.0026319603814754025,163.0,0.0009429328133541884,229.0,126.4,107,0.06666666666666667,False
sensor_039,0.4654998593728518,203.0,0.02268352358539194,13.0,0.0,196.0,0.003261988261121047,110.0,0.0016062161149696,112.0,126.8,108,0.0,False
sensor_050,0.914658888323367,143.0,0.002565165350952192,152.0,0.30989365290450527,12.0,0.0023813542568548404,192.0,0.0014563671493839764,136.0,127.0,109,0.0,False
sensor_151,1.713585676971921,66.0,0.0020145630189638553,158.0,0.05242909514392291,79.0,0.0028750669999346398,143.0,0.001188395292132753,189.0,127.0,110,0.0,False
sensor_089,0.5236532667630152,188.0,0.0025898135951611945,151.0,0.03879248730518255,84.0,0.003002274645834445,129.0,0.001850320752772441,85.0,127.4,111,0.0,False
sensor_137,0.9409623345422596,141.0,0.008139984321757332,94.0,0.0,196.0,0.003154772542395346,117.0,0.0017434941083077577,99.0,129.4,112,0.06666666666666667,False
sensor_053,1.3873781927356645,87.0,0.002880509353972327,145.0,0.1372037379280241,39.0,0.0022545114705556737,203.0,0.001255759593327179,175.0,129.8,113,0.0,False
sensor_253,0.5100624144202369,193.0,0.011443081455452475,78.0,0.0,196.0,0.0033781631009590527,99.0,0.0018550307230357141,84.0,130.0,114,0.0,False
sensor_048,1.0144302087115542,133.0,0.007417157880109659,101.0,0.0,196.0,0.0032376355892182653,111.0,0.001589385240042553,117.0,131.6,115,0.0,False
sensor_558,0.872798131261505,151.0,0.018232598533723277,37.0,0.0,196.0,0.0025370210495004836,175.0,0.0016881962696279893,106.0,133.0,116,0.0,False
sensor_212,0.4782247512913776,200.0,0.013492428948701507,61.0,0.0007609844476415764,118.0,0.0024431157781758016,184.0,0.0017302812395227334,103.0,133.2,117,0.0,False
sensor_433,0.5205928665910596,189.0,0.0026790744601639105,148.0,0.0,196.0,0.004120062263204957,62.0,0.00201545386163765,71.0,133.2,118,0.0,False
sensor_473,0.30401777108298056,227.0,0.0,229.0,0.08441298089985594,62.0,0.00372291924803849,84.0,0.0020847751001224443,67.0,133.8,119,0.0,False
sensor_582,1.024652130895553,132.0,0.0,229.0,0.029330335319220493,90.0,0.0034153139541012578,96.0,0.0015419222689639724,124.0,134.2,120,0.0,False
sensor_572,1.7650444528229323,58.0,0.017477449794380595,41.0,0.0,196.0,0.0023303021322224446,199.0,0.0012327177623234114,182.0,135.2,121,0.0,False
sensor_207,0.9939791810629656,137.0,0.0,229.0,0.0,196.0,0.004009426289096051,66.0,0.0022775244450565805,58.0,137.2,122,0.0,False
sensor_431,2.3348246257417347,26.0,0.0024636250114156155,154.0,0.0,196.0,0.0027343121077267104,155.0,0.0013212183666087216,161.0,138.4,123,0.0,False
sensor_218,1.1632711107424658,107.0,0.0,229.0,0.09535447504692683,52.0,0.0026380360618473955,161.0,0.0014092398570739692,144.0,138.6,124,0.0,False
sensor_045,0.917361220827581,142.0,0.007137365125102546,106.0,0.0,196.0,0.0031166706014745206,119.0,0.001506056787075826,131.0,138.8,125,0.0,False
sensor_113,0.14386297100153764,249.0,0.014208750450204422,55.0,0.11999057443966236,45.0,0.002647221360857198,160.0,0.0011966992519186668,187.0,139.2,126,0.0,False
sensor_544,3.162772444755006,11.0,0.006579800574351591,111.0,0.01420523226978411,105.0,0.001596838801789835,248.0,0.0010023255447658408,221.0,139.2,127,0.0,False
sensor_139,0.15910968556956295,246.0,0.006221712610618324,112.0,0.0,196.0,0.004186060909458336,61.0,0.0018848805433936003,82.0,139.4,128,0.0,False
sensor_035,0.5138969026087373,191.0,0.006132567384748322,113.0,0.0,196.0,0.003955100606552972,70.0,0.0015169714284601955,130.0,140.0,129,0.0,False
sensor_560,0.22775835113895565,239.0,0.00871410764274927,91.0,0.01200436658018654,108.0,0.0030550608410349,122.0,0.00145083999536345,140.0,140.0,130,0.0,False
sensor_009,1.0830273310014347,118.0,0.0014453655881716543,167.0,0.06624710768873708,71.0,0.0024471195011505327,182.0,0.001317228018884672,165.0,140.6,131,0.0,False
sensor_159,2.2539017103654433,30.0,0.0,229.0,0.0,196.0,0.0032037573927346514,114.0,0.0014623966320566782,135.0,140.8,132,0.0,False
sensor_166,1.3127045776730524,93.0,0.002340081088905821,155.0,0.17262224640122306,29.0,0.0023702292413238235,195.0,0.0009328842329279577,232.0,140.8,133,0.06666666666666667,False
sensor_203,1.1486711293946006,109.0,0.00925266868779584,88.0,0.0,196.0,0.0023897987635911762,189.0,0.001568002367587271,122.0,140.8,134,0.03333333333333333,False
sensor_082,1.0118600248386336,135.0,0.02199450725002161,15.0,0.0,196.0,0.0023882339924735964,190.0,0.0012688919714621979,172.0,141.6,135,0.0,False
sensor_067,0.7963880863292334,161.0,0.0,229.0,0.4658697572496122,3.0,0.0026053769727650846,165.0,0.0013794994693112675,151.0,141.8,136,0.0,False
sensor_211,1.0599162880230526,126.0,0.0,229.0,0.20414806290350745,21.0,0.0023253323682166905,200.0,0.0014686369524599498,134.0,142.0,137,0.0,False
sensor_273,1.013901824613173,134.0,0.01632886527991073,46.0,0.0,196.0,0.002546369629245708,172.0,0.0012906320775270571,171.0,143.8,138,0.0,False
sensor_337,1.0828661716546808,120.0,0.0,229.0,0.1498151941008913,36.0,0.002830035222479724,149.0,0.0012119203257541407,186.0,144.0,139,0.0,False
sensor_549,0.4593799592628383,204.0,0.0,229.0,0.0,196.0,0.0044156170488372695,52.0,0.002731323056356171,40.0,144.2,140,0.0,False
sensor_270,0.6486677605805453,176.0,0.0032973076084306108,139.0,0.0,196.0,0.0030061796309200353,128.0,0.0018485733197205867,86.0,145.0,141,0.0,False
sensor_476,0.7148909556266785,166.0,0.0034120837923514724,135.0,0.1716179858405157,30.0,0.002186434019538151,209.0,0.0011914439961483068,188.0,145.6,142,0.0,False
sensor_025,1.079918225540597,121.0,0.0003664213218959045,179.0,0.09441437613613184,53.0,0.0025021769373807677,179.0,0.0011486136098556644,197.0,145.8,143,0.0,False
sensor_484,1.6408413662785322,69.0,0.0,229.0,0.08685758205292464,60.0,0.0025786791160908305,169.0,0.001103599794876779,205.0,146.4,144,0.06666666666666667,False
sensor_487,0.8828564251083076,148.0,0.0,229.0,0.0,196.0,0.0035498510803686333,89.0,0.0020239956470192704,70.0,146.4,145,0.0,False
sensor_132,1.1660315508482209,106.0,0.01831340679568183,36.0,0.05318860012112006,78.0,0.0012793640738499596,261.0,0.0006555015584288402,255.0,147.2,146,0.0,False
sensor_061,0.23309968352436694,237.0,0.00727316530709432,102.0,0.0,196.0,0.002966407016908814,133.0,0.0019881357112457843,73.0,148.2,147,0.0,False
sensor_221,0.26191580583915747,232.0,0.002760617487985284,147.0,0.08934725943841897,56.0,0.0028325292882073593,147.0,0.0013271782644498117,160.0,148.4,148,0.0,False
sensor_162,1.4090406563495321,84.0,0.0,229.0,0.0,196.0,0.003158362379072389,116.0,0.0015865193975533828,118.0,148.6,149,0.0,False
sensor_150,1.1810980046465205,105.0,0.0,229.0,0.0,196.0,0.0034258646618778857,95.0,0.0015565243401052741,123.0,149.6,150,0.0,False
sensor_187,0.35509863842076306,218.0,0.003360046947861628,136.0,0.0,196.0,0.003392384599305156,97.0,0.0017321092923202675,102.0,149.8,151,0.0,False
sensor_070,0.48882727327710557,197.0,0.014744978487896132,51.0,0.0,196.0,0.0030220830544622906,127.0,0.0012533340860452669,179.0,150.0,152,0.0,False
sensor_086,0.8626819523425066,154.0,0.0,229.0,0.008282933354549655,112.0,0.0028990317477229155,140.0,0.0015897945650782638,116.0,150.2,153,0.0,False
sensor_202,1.0387309671910665,130.0,0.0,229.0,0.0,196.0,0.0031884358213780583,115.0,0.001928858931475067,81.0,150.2,154,0.0,False
sensor_201,1.12415587470995,113.0,0.0,229.0,0.027091038067330438,92.0,0.0027561352245595748,154.0,0.0013167855193909723,166.0,150.8,155,0.0,False
sensor_022,1.9600265956283645,46.0,0.0,229.0,0.0,196.0,0.0025060434587404275,178.0,0.0016816741815132799,107.0,151.2,156,0.0,False
sensor_095,2.1597339930503905,36.0,0.015378879660384204,48.0,0.0,196.0,0.0014151972040048796,253.0,0.0009912709787877763,223.0,151.2,157,0.0,False
sensor_542,2.5093560890279343,20.0,0.0056610024127028424,117.0,0.01629969868970824,100.0,0.0015549125538554085,251.0,0.0003136910873158033,270.0,151.6,158,0.0,False
sensor_177,0.12013304931713197,254.0,0.025464788559182105,8.0,0.155624505653803,34.0,0.002098458295720157,220.0,0.0008214419236807752,246.0,152.4,159,0.0,False
sensor_200,1.1237419686246692,114.0,0.0,229.0,0.0,196.0,0.0032234502367176677,112.0,0.0016199583679091228,111.0,152.4,160,0.03333333333333333,False
sensor_016,0.016486590129942278,272.0,0.004496760769272301,128.0,0.0,196.0,0.0038083692532189396,76.0,0.0017964797850328282,93.0,153.0,161,0.0,False
sensor_195,0.8733594994713546,150.0,0.015391782544974753,47.0,0.06824866749675546,69.0,0.001297437948439407,260.0,0.00076409322290234,248.0,154.8,162,0.0,False
sensor_216,0.4082727673465819,210.0,0.0013789569052493622,168.0,0.09946803270514208,51.0,0.002547947934810596,171.0,0.0012537753893768868,178.0,155.6,163,0.0,False
sensor_547,1.4410353547244026,82.0,0.002658177325636668,149.0,0.0148023453436764,104.0,0.0018258612030616192,233.0,0.0010675503807871082,211.0,155.8,164,0.0,False
sensor_255,0.3888336945114822,214.0,0.0,229.0,0.0,196.0,0.003760801933049768,78.0,0.002109073760003305,64.0,156.2,165,0.0,False
sensor_496,0.4696796894135451,202.0,0.0,229.0,0.08414063628952058,63.0,0.002830389242698832,148.0,0.0014516859336267734,139.0,156.2,166,0.0,False
sensor_474,0.6106751493614809,181.0,0.003265030931358437,140.0,0.0,196.0,0.003543902933614864,90.0,0.0012556927461874763,176.0,156.6,167,0.0,False
sensor_108,1.045828786996908,129.0,0.0,229.0,0.0,196.0,0.003045768650213184,123.0,0.0016362507482378164,110.0,157.4,168,0.03333333333333333,False
sensor_043,0.8534232784189361,155.0,0.00034427066852527055,180.0,0.13120653513303004,40.0,0.0023491215891031734,197.0,0.0010138880084225805,220.0,158.4,169,0.0,False
sensor_181,0.24673404661356715,235.0,0.005205524238063974,121.0,0.04022468019948413,83.0,0.0025532771791655527,170.0,0.001161597620625566,193.0,160.4,170,0.0,False
sensor_072,0.529261007592867,187.0,0.0,229.0,0.0,196.0,0.0035278788951452326,91.0,0.001720396214146029,104.0,161.4,171,0.0,False
sensor_119,0.34178945718139886,222.0,0.004671724624212947,126.0,0.008450391808363867,111.0,0.0021799829050183303,211.0,0.001452397980261886,138.0,161.6,172,0.0,False
